hh_id;order_id;pasta_price;voucher;customer_age;yearly_income;area_code
962;1;3,71;0;29;141067;5
962;2;1,64;0;29;141067;5
962;3;1,33;1;29;141067;5
962;4;0,43;1;29;141067;5
962;5;1,95;1;29;141067;5
962;6;2,76;1;29;141067;5
962;7;3,23;1;29;141067;5
962;8;0,82;0;29;141067;5
962;9;2,78;1;29;141067;5
962;10;1,89;1;29;141067;5
962;11;1,22;0;29;141067;5
962;12;2,31;0;29;141067;5
962;13;3,45;1;29;141067;5
962;14;0,02;0;29;141067;5
962;15;3,11;1;29;141067;5
962;16;1,09;0;29;141067;5
962;17;2,65;0;29;141067;5
962;18;1,88;1;29;141067;5
962;19;2,49;1;29;141067;5
962;20;3,20;0;29;141067;5
940;1;2,00;1;23;112984;4
940;2;1,75;0;23;112984;4
940;3;3,82;0;23;112984;4
940;4;2,66;1;23;112984;4
940;5;0,62;2;23;112984;4
940;6;3,56;1;23;112984;4
940;7;1,41;0;23;112984;4
940;8;1,70;1;23;112984;4
940;9;1,86;1;23;112984;4
940;10;2,18;1;23;112984;4
940;11;2,46;2;23;112984;4
940;12;2,44;1;23;112984;4
940;13;2,25;0;23;112984;4
940;14;2,59;1;23;112984;4
940;15;3,19;1;23;112984;4
940;16;1,53;0;23;112984;4
940;17;2,62;0;23;112984;4
940;18;0,00;0;23;112984;4
940;19;2,12;0;23;112984;4
940;20;3,82;1;23;112984;4
1722;1;1,71;1;47;111296;3
1722;2;0,89;0;47;111296;3
1722;3;3,41;1;47;111296;3
1722;4;1,12;0;47;111296;3
1722;5;0,00;0;47;111296;3
1722;6;2,05;0;47;111296;3
1722;7;3,69;0;47;111296;3
1722;8;1,28;0;47;111296;3
1722;9;1,74;1;47;111296;3
1722;10;0,64;1;47;111296;3
1722;11;0,40;0;47;111296;3
1722;12;1,39;0;47;111296;3
1722;13;3,21;1;47;111296;3
1722;14;0,37;0;47;111296;3
1722;15;0,62;2;47;111296;3
1722;16;2,62;1;47;111296;3
1722;17;2,74;1;47;111296;3
1722;18;2,45;0;47;111296;3
1722;19;1,51;0;47;111296;3
1722;20;2,82;1;47;111296;3
1204;1;0,00;0;63;107938;5
1204;2;2,83;0;63;107938;5
1204;3;1,64;0;63;107938;5
1204;4;1,89;1;63;107938;5
1204;5;2,55;1;63;107938;5
1204;6;0,23;0;63;107938;5
1204;7;1,94;1;63;107938;5
1204;8;1,26;0;63;107938;5
1204;9;0,64;0;63;107938;5
1204;10;1,63;0;63;107938;5
1204;11;0,91;0;63;107938;5
1204;12;0,00;0;63;107938;5
1204;13;3,95;1;63;107938;5
1204;14;0,00;0;63;107938;5
1204;15;2,25;0;63;107938;5
1204;16;0,85;0;63;107938;5
1204;17;0,82;2;63;107938;5
1204;18;2,72;1;63;107938;5
1204;19;0,39;1;63;107938;5
1204;20;1,08;2;63;107938;5
180;1;2,25;0;52;106319;2
180;2;1,73;0;52;106319;2
180;3;1,62;1;52;106319;2
180;4;0,00;0;52;106319;2
180;5;1,68;0;52;106319;2
180;6;2,35;0;52;106319;2
180;7;0,75;0;52;106319;2
180;8;0,83;0;52;106319;2
180;9;1,55;1;52;106319;2
180;10;1,74;0;52;106319;2
180;11;2,01;2;52;106319;2
180;12;1,02;1;52;106319;2
180;13;0,80;0;52;106319;2
180;14;1,33;0;52;106319;2
180;15;3,03;0;52;106319;2
180;16;0,68;0;52;106319;2
180;17;0,00;0;52;106319;2
180;18;1,23;1;52;106319;2
180;19;2,02;2;52;106319;2
180;20;0,68;2;52;106319;2
1500;1;3,77;3;38;93529;3
1500;2;0,00;0;38;93529;3
1500;3;1,80;0;38;93529;3
1500;4;0,48;0;38;93529;3
1500;5;1,45;0;38;93529;3
1500;6;1,85;0;38;93529;3
1500;7;3,08;0;38;93529;3
1500;8;0,90;0;38;93529;3
1500;9;1,06;1;38;93529;3
1500;10;0,16;0;38;93529;3
1500;11;2,19;1;38;93529;3
1500;12;1,29;0;38;93529;3
1500;13;1,77;0;38;93529;3
1500;14;0,41;1;38;93529;3
1500;15;3,73;1;38;93529;3
1500;16;1,79;0;38;93529;3
1500;17;0,87;0;38;93529;3
1500;18;0,00;1;38;93529;3
1500;19;1,55;0;38;93529;3
1500;20;1,79;0;38;93529;3
623;1;1,68;0;45;93481;4
623;2;0,54;1;45;93481;4
623;3;2,16;0;45;93481;4
623;4;1,70;0;45;93481;4
623;5;2,11;0;45;93481;4
623;6;1,67;0;45;93481;4
623;7;3,65;1;45;93481;4
623;8;2,43;0;45;93481;4
623;9;1,35;0;45;93481;4
623;10;2,38;0;45;93481;4
623;11;2,14;0;45;93481;4
623;12;0,58;0;45;93481;4
623;13;0,45;0;45;93481;4
623;14;2,20;0;45;93481;4
623;15;2,08;2;45;93481;4
623;16;1,54;2;45;93481;4
623;17;2,33;0;45;93481;4
623;18;4,66;2;45;93481;4
623;19;2,63;0;45;93481;4
623;20;1,61;0;45;93481;4
781;1;2,78;0;30;91997;5
781;2;3,14;0;30;91997;5
781;3;1,05;1;30;91997;5
781;4;2,47;1;30;91997;5
781;5;1,29;0;30;91997;5
781;6;1,70;1;30;91997;5
781;7;3,19;0;30;91997;5
781;8;2,03;1;30;91997;5
781;9;1,65;0;30;91997;5
781;10;0,32;0;30;91997;5
781;11;2,08;1;30;91997;5
781;12;1,26;0;30;91997;5
781;13;1,50;0;30;91997;5
781;14;2,25;0;30;91997;5
781;15;1,23;1;30;91997;5
781;16;0,63;0;30;91997;5
781;17;3,17;0;30;91997;5
781;18;1,25;0;30;91997;5
781;19;2,64;0;30;91997;5
781;20;1,51;0;30;91997;5
1044;1;3,07;0;56;85241;1
1044;2;0,00;0;56;85241;1
1044;3;2,48;1;56;85241;1
1044;4;1,94;0;56;85241;1
1044;5;2,44;0;56;85241;1
1044;6;0,27;0;56;85241;1
1044;7;2,01;1;56;85241;1
1044;8;2,79;0;56;85241;1
1044;9;3,25;0;56;85241;1
1044;10;0,11;0;56;85241;1
1044;11;3,26;1;56;85241;1
1044;12;0,62;0;56;85241;1
1044;13;1,00;0;56;85241;1
1044;14;2,89;0;56;85241;1
